"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","332","API: Payments endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","381","API: Accounts (COA) endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","354","API: Projects endpoint is reachable","Sanity","Tue Sep 08 09:56:19 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","355","Frontend: homepage returns 200","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","338","API: Receipts endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","344","API: Customers endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","366","API: Bills endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","336","API: Sales Orders endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","329","API: Currency endpoint is reachable","Sanity","Tue Sep 08 09:56:19 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","332","API: HR Employees endpoint is reachable","Sanity","Tue Sep 08 09:56:19 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","359","API: Locations endpoint is reachable","Sanity","Tue Sep 08 09:56:19 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","374","API: Vendors endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","325","API: Invoices endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","481","API: /users/login endpoint accepts POST","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","427","API: server root responds","Sanity","Tue Sep 08 09:56:17 UTC 2026","passed","Tue Sep 08 09:56:18 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","365","API: Warehouses endpoint is reachable","Sanity","Tue Sep 08 09:56:19 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","334","API: Inventory Items endpoint is reachable","Sanity","Tue Sep 08 09:56:19 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
"","329","API: Purchase Orders endpoint is reachable","Sanity","Tue Sep 08 09:56:18 UTC 2026","passed","Tue Sep 08 09:56:19 UTC 2026","Sanity: ERP System Connectivity @sanity","sanity.spec.ts","",""
